week_index,group,alpha,beta_mkt,beta_hml,beta_smb,sigma,week_return1,week_return4,week_return13
2,22,-0.000457146,0.108968436,0.089071217,0.027179534,0.009513191,1.003319362,1.002944629,1.000709062
2,23,-0.001228517,0.770625284,0.859240559,-0.225675909,0.015935255,0.991613461,0.986920536,0.988219277
2,24,-0.001710399,0.879575765,0.443082258,0.389838551,0.020397563,0.992933234,0.978075863,0.984918273
2,25,-0.002218306,1.438715642,0.807026484,1.14358477,0.023026045,1.014665682,1.008224795,0.985523146
2,26,-0.011029831,1.501793101,0.379593461,1.64191947,0.034584837,1.042077193,0.979528377,0.961175931
2,27,-0.000208019,5.69E-05,-0.000192242,-8.61E-06,0.000481724,0.971246333,1.02298864,0.989634482
2,28,-0.06589024,0.31438393,-0.003883185,0.15433866,0.024501258,1.005404128,0.997827274,0.984843923
2,29,-0.019093184,0.050114834,0.079484747,0.05513042,0.006874965,0.947037583,0.956504335,0.958159456
2,30,-0.037671653,0.173729165,0.075466121,0.058993101,0.012676201,0.993549386,0.989843069,0.975464388
3,1,0.111546599,2.885639059,1.533195721,3.640577286,0.272958338,0.912646933,0.892887059,0.90217774
3,2,0.013872682,1.560455738,0.684891512,-1.029804522,0.04530391,1.041935968,1.04093163,1.022779438
3,3,0.02912817,4.657783685,5.750365476,6.748626957,0.095247288,0.948887486,0.943991142,0.954964974
3,4,0.012820438,2.677287202,5.290900349,3.084166087,0.04626752,1.050050824,1.037385059,1.033797196
3,5,0.015667569,1.939829629,-2.776066216,0.726988166,0.073348262,0.917691542,0.941783035,0.953953142
3,6,0.003944523,1.262226226,2.233279336,1.050306972,0.029076834,1.011022886,1.009544332,1.022799943
3,7,0.014367583,0.075633018,1.018577704,0.6224849,0.114969161,1.016146292,1.032411577,1.048794369
3,8,0.00540952,0.16134928,0.194587276,0.334278102,0.04432477,1.008348219,1.00957129,0.997862888
3,9,0.003662175,1.222725187,1.7907935,1.058857547,0.032290377,1.018469747,1.010502304,1.021166421
3,10,0.007539929,1.946553198,3.722706115,2.958249377,0.075644122,0.981570949,1.018410681,1.02418297
3,11,0.002820788,0.547496449,0.795776609,0.437173759,0.030625706,1.017450328,1.01338742,1.014449051
3,12,0.004886444,-1.788885268,-2.60096914,-1.556504314,0.068017353,1.018542931,1.033908275,1.032299805
3,13,0.001574523,1.316168732,1.035529106,-1.033279602,0.023651204,1.034191618,1.052890334,1.047863297
3,14,0.002184903,-0.91907164,-1.228198517,-0.738295988,0.036799789,1.034768503,1.022468058,1.013389081
3,15,0.001348255,-0.101041705,-0.234152083,-0.118460555,0.023282105,1.016438216,1.005358991,1.009961164
3,16,0.00284993,2.853041173,3.677650375,4.343117226,0.05346613,0.884332698,0.950442989,0.95606783
3,17,0.001417782,1.102076867,-1.810980142,-0.367403159,0.029943214,1.019761957,1.019949278,1.018610388
3,18,0.00069038,0.230038876,0.328106692,0.161171355,0.017507008,1.020724405,1.02572954,1.027726727
3,19,-0.001088953,1.969568388,-0.822453128,1.429617087,0.043480246,0.998344426,0.976201169,0.973694019
3,20,-0.000243107,0.14776818,0.142981368,0.047216481,0.009434447,0.999730031,1.013321454,1.007932848
3,21,-0.00058189,1.100597195,1.282347983,0.919970869,0.020360445,1.061009472,1.034226706,1.03892369
3,22,-0.000666845,0.970986358,0.568654766,-0.446855071,0.018932995,1.040740216,1.036018546,1.038169609
3,23,-0.000599425,0.743052356,0.90875442,-0.203901267,0.016609563,1.063276325,1.068877341,1.069383879
3,24,-0.002510151,0.818317948,-0.249297634,0.212723242,0.0218403,1.002325871,1.014204317,1.002052798
3,25,-0.006289899,1.798694924,1.324013119,1.979355931,0.031334897,0.982085208,0.964244249,0.983290225
3,26,-0.000210857,6.64E-05,-0.000103145,-2.78E-05,0.000480146,0.964328297,0.967468307,0.963420285
3,27,-0.073585248,0.436493284,0.314638499,0.308770251,0.028042599,0.965806079,0.971430778,0.967317429
3,28,-0.016791769,0.041306632,0.06855391,0.052729729,0.00608009,1.00016206,0.99728409,0.996699996
3,29,-0.047771231,0.163803976,-0.026504616,0.117766998,0.016090914,0.98545973,0.991293797,1.001100919
3,30,-0.030976316,0.093663954,0.087451819,0.048153083,0.009958802,1.015741764,0.989912881,1.009875485
4,1,0.10771007,2.170686454,0.296713437,3.118036928,0.274123501,1.02144205,1.011804137,0.999917404
4,2,0.029513122,4.631056526,5.752562466,6.794296478,0.096279882,1.169176939,1.107706277,1.120340659
4,3,0.012745419,2.559578106,4.863359908,2.774527125,0.044660027,1.050029194,1.044265028,1.033650776
4,4,0.011432839,1.39056761,1.195456603,-0.493631287,0.041424996,0.906172432,0.934375172,0.943878637
4,5,0.016298366,1.039765337,-3.607149669,-1.299738773,0.081908914,0.961375805,0.973274888,0.981496886
4,6,0.004846482,1.047085166,1.657263169,0.809403108,0.035828111,1.028001177,1.021405076,1.005941011
4,7,0.004469146,0.570024088,0.991089324,0.402689287,0.034345283,1.000712459,1.015767155,1.015783385
4,8,0.007414939,2.283189086,-1.062805876,2.085887366,0.062627325,1.064285535,1.061037617,1.075673763
4,9,0.006258201,-1.262781175,-1.810307224,-1.139260077,0.055583939,0.98973729,0.993451321,0.982733824
4,10,0.011009641,0.004328147,1.577942972,0.802137122,0.111981823,0.968334636,0.979449886,0.974944425
4,11,0.002770011,0.7786121,1.098657748,0.578062499,0.02876177,0.998478339,0.982575731,0.989405077
4,12,0.006607505,0.280816576,2.21611537,1.184791714,0.070446255,0.992492411,1.005811592,0.996161459
4,13,0.002785431,-0.245060403,-0.330432299,-0.224552752,0.03226955,1.061761497,1.028550895,1.029179797
4,14,0.002300865,1.114614647,-1.579735718,-0.298337344,0.029150108,1.018229109,1.020621483,1.009219769
4,15,0.003228415,3.012669997,4.430668887,4.674116052,0.054018985,1.078307963,1.058236096,1.047683225
4,16,0.001035684,-0.083681013,-0.155422117,-0.056779024,0.019916011,1.011113591,1.009230157,1.012582462
4,17,0.000751519,0.903560988,1.148983823,0.730856132,0.02132289,0.998923075,1.000300101,1.003532862
4,18,0.000520259,0.676613318,0.914686688,0.049664944,0.016315996,0.966178413,0.972766773,0.972886427
4,19,0.000337706,1.209391739,0.703929397,-1.202698058,0.023266761,0.957673155,0.955265342,0.965920465
4,20,-0.000378827,1.748783911,-0.776178297,1.375871211,0.039803084,1.022250219,1.034985945,1.026232546
4,21,-0.000162108,0.14519882,0.150203504,0.057549154,0.009468033,1.002984249,0.998076537,0.997274578
4,22,-0.000663408,1.349133329,1.873392574,1.314675403,0.023747172,1.023697421,1.011840093,1.011128497
4,23,-0.000953266,0.923461841,0.73689303,-0.501158411,0.017676301,0.978210452,0.958287146,0.958690411
4,24,-0.004205958,0.810922384,-0.244564735,0.095240958,0.019487679,0.974267556,0.942434406,0.953523258
4,25,-0.007201892,1.619410119,0.822982938,1.657991722,0.029265515,1.062192878,1.033204599,1.040559945
4,26,-0.000213404,-9.08E-05,-0.000411182,-0.000147024,0.000485609,0.990277915,1.018571256,1.023509892
4,27,-0.074806251,0.403621876,0.327339537,0.319250891,0.029020098,1.057947907,1.05068187,1.051165991
4,28,-0.016836957,0.045438333,0.074606202,0.058716843,0.006170061,0.977514043,0.9861238,1.006310981
